,DATA_EPI,NU_IDADE_N_x,NU_IDADE_N_y
145,2014-12,20.5,15.864005379054392
146,2014-13,10.5,13.600551459407813
147,2014-14,13.430555555555557,14.557683792671396
148,2014-15,15.822916666666666,11.547558449767365
149,2014-16,23.142857142857142,12.171395036841798
150,2014-17,13.416666666666666,11.841839665637542
151,2014-18,27.854166666666664,22.477805411363253
152,2014-19,22.0,0.0
153,2014-20,17.069444444444446,18.79275988443619
154,2014-21,12.4375,14.222011988463517
155,2014-22,20.0,9.874208829065749
156,2014-23,9.6875,14.281519721498674
157,2014-24,13.895833333333334,16.016840715569863
158,2014-25,12.904761904761903,14.013174073672518
159,2014-26,19.84722222222222,21.15445166302825
160,2014-27,14.758771929824562,12.190580719744256
161,2014-28,22.564814814814817,13.021712497552615
162,2014-29,16.211805555555554,11.774885743793359
163,2014-30,16.63063063063063,10.696690610808405
164,2014-31,17.22222222222222,10.031191290756809
165,2014-32,17.9513698630137,11.608023828322805
166,2014-33,15.622549019607842,13.764295524684497
167,2014-34,18.041666666666664,15.855462605816472
168,2014-35,8.971014492753623,12.21954596003785
169,2014-36,9.913194444444445,13.226507730431198
170,2014-37,14.008333333333335,17.013903628111528
171,2014-38,20.458333333333332,16.004897563925425
172,2014-39,14.166666666666668,12.883290211225804
173,2014-40,11.118055555555555,10.01535805078989
174,2014-41,14.55,13.652469090999684
175,2014-42,10.876984126984127,12.712325030141326
176,2014-43,11.62962962962963,12.745440752891822
177,2014-44,16.833333333333336,13.852104065341015
178,2014-45,11.783333333333333,13.123830257776143
179,2014-46,8.7,12.030087941200426
180,2014-47,16.625,13.435456264776981
181,2014-48,17.06111111111111,19.34847689615537
182,2014-49,11.16687741482262,14.065564552395879
183,2014-50,18.57843137254902,20.43040504158933
184,2014-51,13.875,18.213537672441742
185,2014-52,7.286548706240487,10.754228066767382
186,2014-53,8.194444444444445,9.990794373933548
187,2015-01,14.799063926940638,14.087396535123531
188,2015-02,22.430555555555557,21.11663487676288
189,2015-03,13.08974358974359,12.437317909446023
190,2015-04,6.104166666666667,8.177440657949509
191,2015-05,10.077777777777778,12.410731510018119
192,2015-06,11.428571428571429,10.967484410096706
193,2015-07,18.12777777777778,14.177477201122906
194,2015-08,21.125,16.00390577327922
195,2015-09,18.083333333333336,17.59951861715415
196,2015-10,14.226190476190476,16.483768270699404
197,2015-11,3.975,9.032438967615763
198,2015-12,27.0,16.832508230603462
199,2015-13,24.222222222222225,14.756793790080653
200,2015-14,19.677083333333332,21.453180726727933
201,2015-15,17.410714285714285,13.471696520589273
202,2015-16,14.625,12.45117448402945
203,2015-17,28.5,14.849242404917497
204,2015-18,11.481481481481483,13.61147250087129
205,2015-19,11.020833333333334,13.637145089441418
206,2015-20,7.944444444444444,13.039558757588102
207,2015-21,25.291666666666668,21.496931305550465
208,2015-22,55.0,0.0
209,2015-23,22.0,0.0
210,2015-24,17.0,0.0
