,ID_MN_RESI,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
83,150280.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
84,150285.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,9.0
85,150290.0,5.0,8.0,15.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,38.0
86,150300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,150304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,150307.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
89,150309.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
90,150310.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
91,150320.0,4.0,3.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
92,150330.0,22.0,26.0,32.0,18.0,4.0,11.0,2.0,0.0,0.0,0.0,11.0,126.0
93,150340.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
94,150345.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
95,150350.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
96,150360.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
97,150370.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
98,150375.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
99,150390.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
100,150400.0,7.0,17.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,44.0
101,150405.0,8.0,17.0,36.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,77.0
102,150420.0,57.0,23.0,37.0,19.0,10.0,7.0,4.0,1.0,0.0,0.0,4.0,162.0
103,150430.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
104,150442.0,44.0,40.0,50.0,15.0,8.0,8.0,2.0,1.0,0.0,0.0,11.0,179.0
105,150450.0,11.0,5.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0
106,150460.0,3.0,3.0,14.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,31.0
107,150470.0,31.0,27.0,51.0,27.0,3.0,10.0,7.0,0.0,0.0,0.0,10.0,166.0
108,150475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
109,150480.0,6.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,20.0
110,150490.0,4.0,4.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0
111,150495.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,150497.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,150506.0,8.0,7.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0
114,150510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,150520.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0
116,150548.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,150550.0,25.0,9.0,12.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,53.0
118,150553.0,40.0,9.0,21.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,81.0
119,150570.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
120,150580.0,55.0,23.0,25.0,13.0,4.0,12.0,0.0,0.0,0.0,0.0,9.0,141.0
121,150590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
122,150600.0,12.0,11.0,9.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,44.0
123,150610.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
124,150613.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
