,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
403,150405,"(29, 39]",9,4.0,2.0,3.0,15
404,150405,"(4, 9]",1,1.0,0.0,0.0,15
405,150405,"(49, 59]",2,1.0,1.0,0.0,15
406,150405,"(9, 14]",4,0.0,2.0,2.0,15
407,150405,nan,1,0.0,1.0,0.0,15
408,150420,"(0, 4]",56,6.0,49.0,1.0,15
409,150420,"(14, 19]",22,5.0,17.0,0.0,15
410,150420,"(19, 29]",37,4.0,32.0,1.0,15
411,150420,"(29, 39]",19,2.0,17.0,0.0,15
412,150420,"(39, 49]",10,1.0,9.0,0.0,15
413,150420,"(4, 9]",7,1.0,6.0,0.0,15
414,150420,"(49, 59]",4,0.0,4.0,0.0,15
415,150420,"(59, 69]",1,0.0,1.0,0.0,15
416,150420,"(9, 14]",4,0.0,4.0,0.0,15
417,150430,"(19, 29]",1,1.0,0.0,0.0,15
418,150442,"(0, 4]",32,8.0,13.0,11.0,15
419,150442,"(14, 19]",36,3.0,11.0,22.0,15
420,150442,"(19, 29]",52,9.0,18.0,25.0,15
421,150442,"(29, 39]",15,1.0,8.0,6.0,15
422,150442,"(39, 49]",10,0.0,6.0,4.0,15
423,150442,"(4, 9]",7,1.0,1.0,5.0,15
424,150442,"(49, 59]",2,0.0,0.0,2.0,15
425,150442,"(59, 69]",1,0.0,0.0,1.0,15
426,150442,"(9, 14]",11,3.0,2.0,6.0,15
427,150450,"(0, 4]",11,1.0,9.0,1.0,15
428,150450,"(14, 19]",6,1.0,3.0,2.0,15
429,150450,"(19, 29]",4,0.0,1.0,3.0,15
430,150450,"(29, 39]",4,2.0,2.0,0.0,15
431,150450,"(39, 49]",1,0.0,1.0,0.0,15
432,150450,"(4, 9]",3,0.0,2.0,1.0,15
433,150450,"(9, 14]",4,0.0,4.0,0.0,15
434,150450,nan,1,0.0,0.0,1.0,15
435,150460,"(0, 4]",3,0.0,3.0,0.0,15
436,150460,"(14, 19]",3,0.0,3.0,0.0,15
437,150460,"(19, 29]",15,3.0,12.0,0.0,15
438,150460,"(29, 39]",2,0.0,2.0,0.0,15
439,150460,"(39, 49]",3,0.0,2.0,1.0,15
440,150460,"(4, 9]",1,1.0,0.0,0.0,15
441,150460,"(49, 59]",1,0.0,1.0,0.0,15
442,150460,"(9, 14]",4,0.0,1.0,3.0,15
443,150470,"(0, 4]",24,6.0,18.0,0.0,15
444,150470,"(14, 19]",22,11.0,9.0,2.0,15
445,150470,"(19, 29]",42,14.0,22.0,6.0,15
446,150470,"(29, 39]",21,5.0,11.0,5.0,15
447,150470,"(39, 49]",3,1.0,1.0,1.0,15
448,150470,"(4, 9]",9,5.0,3.0,1.0,15
449,150470,"(49, 59]",6,0.0,6.0,0.0,15
450,150470,"(9, 14]",9,2.0,5.0,2.0,15
451,150470,nan,1,0.0,1.0,0.0,15
452,150480,"(0, 4]",8,3.0,5.0,0.0,15
453,150480,"(14, 19]",6,5.0,0.0,1.0,15
454,150480,"(19, 29]",3,0.0,1.0,2.0,15
455,150480,"(29, 39]",1,0.0,0.0,1.0,15
456,150480,"(39, 49]",1,0.0,0.0,1.0,15
457,150480,"(4, 9]",2,0.0,2.0,0.0,15
458,150480,"(49, 59]",1,0.0,0.0,1.0,15
