,ID_MUNICIP,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
409,315990,1,1.0,0.0,0.0,31
410,316370,1,1.0,0.0,0.0,31
411,316470,1,1.0,0.0,0.0,31
412,316720,1,0.0,1.0,0.0,31
413,316910,1,1.0,0.0,0.0,31
414,316940,1,1.0,0.0,0.0,31
415,316990,2,2.0,0.0,0.0,31
416,317020,26,19.0,7.0,0.0,31
417,317040,1,0.0,0.0,1.0,31
418,317120,1,1.0,0.0,0.0,31
419,317130,1,1.0,0.0,0.0,31
420,317200,1,0.0,1.0,0.0,31
421,320020,1,1.0,0.0,0.0,32
422,320130,2,1.0,1.0,0.0,32
423,320150,1,1.0,0.0,0.0,32
424,320240,1,1.0,0.0,0.0,32
425,320270,2,2.0,0.0,0.0,32
426,320530,2,1.0,0.0,1.0,32
427,330010,2,2.0,0.0,0.0,33
428,330020,1,1.0,0.0,0.0,33
429,330023,1,0.0,1.0,0.0,33
430,330030,1,0.0,0.0,1.0,33
431,330040,1,0.0,1.0,0.0,33
432,330045,37,3.0,26.0,8.0,33
433,330095,1,0.0,0.0,1.0,33
434,330100,1,1.0,0.0,0.0,33
435,330130,1,0.0,0.0,1.0,33
436,330170,381,67.0,218.0,96.0,33
437,330187,1,0.0,1.0,0.0,33
438,330190,8,2.0,6.0,0.0,33
439,330200,3,1.0,0.0,2.0,33
440,330220,2,2.0,0.0,0.0,33
441,330240,10,2.0,3.0,5.0,33
442,330250,35,5.0,19.0,11.0,33
443,330260,1,1.0,0.0,0.0,33
444,330280,1,0.0,0.0,1.0,33
445,330285,6,0.0,4.0,2.0,33
446,330320,23,7.0,11.0,5.0,33
447,330330,111,51.0,30.0,30.0,33
448,330340,37,30.0,5.0,2.0,33
449,330350,114,26.0,43.0,45.0,33
450,330380,14,4.0,7.0,3.0,33
451,330385,2,2.0,0.0,0.0,33
452,330390,15,3.0,7.0,5.0,33
453,330411,1,1.0,0.0,0.0,33
454,330414,23,3.0,16.0,4.0,33
455,330420,1,1.0,0.0,0.0,33
456,330430,8,2.0,3.0,3.0,33
457,330452,3,2.0,1.0,0.0,33
458,330455,791,314.0,266.0,211.0,33
459,330490,22,8.0,9.0,5.0,33
460,330510,49,17.0,29.0,3.0,33
461,330520,2,1.0,1.0,0.0,33
462,330550,1,1.0,0.0,0.0,33
463,330580,29,21.0,4.0,4.0,33
464,330610,25,20.0,1.0,4.0,33
465,330630,3,2.0,1.0,0.0,33
466,350010,2,1.0,1.0,0.0,35
467,350050,1,1.0,0.0,0.0,35
468,350070,2,1.0,1.0,0.0,35
469,350100,3,1.0,2.0,0.0,35
470,350115,1,0.0,1.0,0.0,35
471,350150,3,3.0,0.0,0.0,35
472,350160,11,6.0,3.0,2.0,35
473,350190,5,2.0,2.0,1.0,35
474,350210,4,3.0,1.0,0.0,35
475,350220,7,7.0,0.0,0.0,35
476,350240,2,2.0,0.0,0.0,35
477,350250,2,1.0,1.0,0.0,35
478,350275,7,5.0,2.0,0.0,35
479,350280,16,12.0,4.0,0.0,35
480,350310,1,1.0,0.0,0.0,35
481,350320,1,1.0,0.0,0.0,35
482,350330,17,12.0,4.0,1.0,35
483,350380,4,2.0,0.0,2.0,35
484,350390,72,24.0,13.0,35.0,35
485,350400,2,1.0,0.0,1.0,35
486,350410,59,33.0,10.0,16.0,35
487,350430,1,1.0,0.0,0.0,35
488,350450,1,1.0,0.0,0.0,35
489,350460,6,6.0,0.0,0.0,35
490,350520,2,2.0,0.0,0.0,35
491,350530,1,1.0,0.0,0.0,35
492,350550,9,6.0,3.0,0.0,35
493,350560,2,2.0,0.0,0.0,35
494,350570,517,158.0,286.0,73.0,35
495,350580,1,0.0,1.0,0.0,35
496,350600,93,59.0,19.0,15.0,35
