,ID_MUNICIP,"(0, 4]","(14, 19]","(19, 29]","(29, 39]","(39, 49]","(4, 9]","(49, 59]","(59, 69]","(69, 79]","(79, 120]","(9, 14]",TOTAL
495,350580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
496,350600,21.0,17.0,29.0,10.0,7.0,5.0,1.0,1.0,0.0,0.0,2.0,93.0
497,350610,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
498,350635,12.0,9.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,42.0
499,350650,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
500,350660,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
501,350700,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
502,350710,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
503,350750,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
504,350760,19.0,0.0,10.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,36.0
505,350790,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
506,350810,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
507,350840,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
508,350850,11.0,4.0,4.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,32.0
509,350900,26.0,48.0,85.0,35.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,203.0
510,350920,4.0,3.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
511,350925,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
512,350930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
513,350950,108.0,27.0,50.0,26.0,9.0,6.0,5.0,2.0,0.0,0.0,4.0,237.0
514,350960,6.0,6.0,8.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0
515,350970,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
516,351000,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
517,351020,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
