,ID_MN_RESI,CASO,CASO_VAC,CASO_N_VAC,CASO_IGN,COV_1,E_COV_1,COV_2,E_COV_2
78,351500.0,60,23.0,31.0,6.0,0.930381777350016,0.03285613228532363,0.916138125440451,0.0357838558931509
79,351510.0,34,14.0,16.0,4.0,0.9414225941422595,0.040273364932201745,0.9269988412514485,0.044613368337410045
80,351515.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0
81,351518.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,351550.0,100,81.0,17.0,2.0,0.9858653046680127,0.011804620163249246,0.984866682680759,0.012208316848016392
83,351570.0,117,28.0,48.0,41.0,0.9535655058043118,0.019453721535396304,0.9100290834036965,0.026453660623221603
84,351600.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
85,351620.0,25,9.0,11.0,5.0,0.9478672985781991,0.04445891715472443,0.9240658899156288,0.052978531882288245
86,351630.0,635,258.0,321.0,56.0,0.9332184147175083,0.009906794387632022,0.921302709145379,0.010685484102222097
87,351640.0,367,134.0,198.0,35.0,0.9242043093076671,0.013815710360496725,0.9094456283578954,0.014979939121121345
88,351650.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
89,351670.0,7,6.0,1.0,0.0,0.9884678747940692,0.04035403200631264,0.9884678747940692,0.04035403200631264
90,351690.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
91,351700.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
92,351730.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
93,351740.0,3,1.0,2.0,0.0,0.8771929824561404,0.18949534205870935,0.8771929824561404,0.18949534205870935
94,351750.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0
95,351810.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,351820.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,351830.0,33,19.0,10.0,4.0,0.970464135021097,0.02947186519626809,0.9615384615384615,0.033476472299172645
98,351840.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0
99,351860.0,6,5.0,0.0,1.0,1.0,0.0,0.993676603432701,0.03236101364077789
100,351870.0,51,26.0,13.0,12.0,0.9766126959650475,0.021162461236511356,0.9600960096009602,0.027408193260937255
101,351880.0,955,355.0,375.0,225.0,0.956701030927835,0.006586052878053429,0.9319710939446798,0.008147911048012308
102,351905.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,351907.0,26,19.0,6.0,1.0,0.9794319294809012,0.027835384919628055,0.977198697068404,0.029274170497489146
104,351920.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
105,351930.0,4,2.0,2.0,0.0,0.9345794392523366,0.12363323883479393,0.9345794392523366,0.12363323883479393
106,351940.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
107,351950.0,2,1.0,1.0,0.0,0.9345794392523366,0.1748438031202776,0.9345794392523366,0.1748438031202776
108,351960.0,6,3.0,1.0,2.0,0.9861932938856016,0.04763766188753923,0.9661835748792271,0.07379348945178484
109,351970.0,5,1.0,2.0,2.0,0.9554140127388535,0.09230176271458239,0.9049773755656109,0.13114368096099038
110,351980.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0
111,352000.0,3,2.0,1.0,0.0,0.9661835748792271,0.10435975359755005,0.9661835748792271,0.10435975359755005
112,352020.0,2,0.0,0.0,2.0,1.0,0.0,0.9345794392523366,0.1748438031202776
113,352040.0,8,5.0,3.0,0.0,0.9596928982725528,0.06953635674755007,0.9596928982725528,0.06953635674755007
114,352044.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0
115,352050.0,36,25.0,10.0,1.0,0.9737827715355806,0.026630123605120515,0.9719839908519154,0.027503086887100837
116,352090.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
117,352100.0,6,4.0,1.0,1.0,0.9861932938856016,0.04763766188753923,0.977198697068404,0.06093904538719773
118,352210.0,16,6.0,5.0,5.0,0.9691629955947137,0.04321897989063563,0.9418282548476454,0.05851698109218172
