,Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
4217,412210,164,170,160,164,411,442,374,502,370,246,159,3162
4218,412215,1102,1012,787,821,2062,1666,1802,1752,1215,729,292,13240
4219,412217,322,314,260,253,702,616,547,474,342,184,107,4121
4220,412220,2823,2672,2383,2490,5611,5120,4543,3546,2057,996,394,32635
4221,412230,2536,2507,2349,2360,5340,5190,4975,4154,2933,1563,738,34645
4222,412240,4394,4416,4400,4637,10348,10669,9709,8502,6013,3449,1628,68165
4223,412250,598,593,526,593,1307,1410,1340,1313,943,558,266,9447
4224,412260,627,628,597,665,1479,1411,1373,1305,840,483,256,9664
4225,412265,288,302,265,229,668,607,619,697,443,312,165,4595
4226,412270,414,437,416,418,1079,1024,1001,939,668,374,184,6954
4227,412280,197,195,156,170,512,456,479,462,389,238,135,3389
4228,412290,277,280,263,261,664,668,650,703,589,335,172,4862
4229,412300,1006,1015,953,948,2374,2473,2012,1872,1266,706,332,14957
4230,412310,197,205,191,158,428,393,411,487,384,236,118,3208
4231,412320,207,210,192,163,478,435,395,493,341,226,113,3253
4232,412330,461,466,443,442,1065,1134,1049,1087,795,486,277,7705
4233,412340,714,733,733,777,1801,1921,1674,1709,1216,668,384,12330
4234,412350,1609,1668,1575,1590,4041,3948,3827,3684,2666,1699,729,27036
4235,412360,92,94,90,85,220,222,227,241,156,97,44,1568
4236,412370,443,469,454,462,1120,1190,1135,1311,961,590,349,8484
4237,412380,930,932,866,923,2411,2374,1947,1936,1427,766,412,14924
4238,412382,279,275,240,220,489,492,494,523,372,271,140,3795
4239,412385,710,688,584,566,1436,1279,1289,1156,852,462,188,9210
4240,412390,612,620,591,596,1534,1538,1580,1733,1357,896,466,11523
4241,412395,307,299,272,266,644,623,569,519,313,160,80,4052
4242,412400,322,317,272,284,724,658,698,725,510,273,133,4916
4243,412402,756,781,726,693,1780,1474,1338,1147,762,406,192,10055
4244,412405,1570,1602,1488,1440,3718,3498,3248,3228,2334,1261,540,23927
4245,412410,3307,3273,3094,3125,6874,6934,6119,5847,4314,2412,1204,46503
4246,412420,150,149,133,147,390,345,374,394,275,156,98,2611
4247,412430,127,124,109,115,262,260,265,304,263,141,62,2032
4248,412440,1547,1508,1332,1310,3244,2880,2444,2557,1926,1066,540,20354
4249,412450,317,317,311,320,809,872,760,767,508,283,158,5422
4250,412460,445,459,447,444,1100,1065,935,923,602,343,198,6961
4251,412470,832,792,678,696,1742,1587,1532,1364,977,586,302,11088
4252,412480,596,606,551,541,1457,1474,1280,1400,1205,672,340,10122
4253,412490,383,387,354,378,889,810,818,768,529,316,187,5819
4254,412500,522,536,500,538,1266,1341,1330,1513,1213,751,387,9897
4255,412510,1288,1243,1111,1051,2621,2403,2053,1693,1084,570,242,15359
4256,412520,510,520,483,493,1269,1377,1215,1361,1000,515,262,9005
4257,412530,291,308,294,287,742,725,727,876,641,422,222,5535
4258,412535,273,294,291,271,731,756,729,817,670,454,246,5532
4259,412540,385,390,339,329,903,834,818,916,629,380,192,6115
4260,412545,214,218,187,201,526,582,530,522,328,213,80,3601
4261,412550,27077,25545,24143,26159,59082,53356,47343,35502,22296,10255,3862,334620
4262,412555,117,121,109,115,300,299,288,332,245,157,82,2165
4263,412560,3555,3424,3137,3341,7912,7302,6701,5509,3572,1817,867,47137
4264,412570,1805,1839,1744,1750,4210,4061,3675,3655,2686,1537,734,27696
4265,412575,347,354,313,309,808,800,786,766,638,436,188,5745
4266,412580,776,769,737,677,1628,1741,1576,1351,989,573,292,11109
4267,412590,117,125,116,129,330,300,321,356,249,152,70,2265
4268,412600,552,556,495,502,1360,1305,1191,1245,923,495,241,8865
4269,412610,360,374,372,352,876,898,823,767,507,290,159,5778
4270,412620,490,483,410,403,1110,1003,991,796,564,315,143,6708
4271,412625,7152,7080,6872,7188,16367,14995,13642,11933,7916,4131,1612,98888
4272,412627,455,436,383,370,864,824,695,616,498,297,140,5578
4273,412630,1674,1551,1333,1458,3349,2882,2632,2208,1396,660,298,19441
4274,412635,237,257,252,223,549,574,599,670,539,383,177,4460
4275,412640,264,278,253,244,633,680,714,801,666,401,215,5149
4276,412650,941,962,930,971,2368,2397,2310,2346,1730,990,511,16456
4277,412660,1386,1384,1304,1342,3367,3335,3102,2696,1990,1045,525,21476
4278,412665,168,167,145,147,339,407,373,445,354,223,112,2880
4279,412667,1321,1275,1097,1022,2398,2140,2081,1806,1151,663,323,15277
4280,412670,300,319,316,305,795,839,673,689,508,286,166,5196
4281,412680,1132,1144,1098,1110,2715,2490,2368,2039,1288,708,388,16480
4282,412690,316,323,296,291,739,804,726,797,593,353,214,5452
4283,412700,973,925,810,928,2204,1924,1716,1536,960,526,259,12761
4284,412710,6606,6354,5970,6018,13200,12485,10674,8677,6079,3115,1410,80588
4285,412720,1018,1041,1026,1072,2649,2762,2331,2340,1593,937,535,17304
4286,412730,1205,1210,1161,1096,2488,2499,2304,2200,1503,897,491,17054
4287,412740,1043,1067,1026,1075,2614,2506,2429,2453,1724,1052,573,17562
4288,412750,1866,1755,1502,1512,3423,2824,2694,2303,1570,842,397,20688
4289,412760,1394,1336,1150,1123,2798,2410,2363,2191,1379,790,361,17295
4290,412770,8894,8873,8911,9927,23761,24205,20255,18266,12321,6203,2985,144601
4291,412780,467,481,436,406,1005,1135,1047,1186,837,470,229,7699
4292,412785,878,876,752,741,1898,1786,1568,1548,1051,640,298,12036
4293,412788,1101,951,794,885,1829,1595,1042,580,294,140,58,9269
4294,412790,568,557,512,517,1304,1189,1221,1205,745,440,244,8502
4295,412795,480,496,460,463,1020,1057,1128,1149,917,635,300,8105
4296,412796,1002,955,846,917,2145,1891,1699,1569,1076,607,270,12977
4297,412800,1152,1200,1140,1174,2908,3011,2963,3048,2192,1269,752,20809
4298,412810,6693,6820,7041,7343,16384,18209,16076,14555,10877,6256,3162,113416
4299,412820,4194,4142,3967,4210,9367,8526,7820,7073,5009,2639,1351,58298
4300,412830,166,177,159,146,419,408,367,345,204,156,76,2623
4301,412840,617,639,604,616,1439,1557,1489,1603,1318,847,504,11233
4302,412850,1350,1326,1203,1221,2867,2784,2591,2487,1946,1040,543,19358
4303,412853,1050,978,867,935,2113,1915,1748,1288,785,419,169,12267
4304,412855,514,521,476,458,1276,1172,1106,1115,893,558,300,8389
4305,412860,399,416,382,340,962,1043,945,1087,817,484,219,7094
4306,412862,166,164,140,148,346,355,396,413,282,146,74,2630
4307,412863,473,444,349,380,943,760,773,638,415,243,107,5525
