"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110080 CANDEIAS DO JAMARI";"0";"0";"113,81";"73,87";"125,96";"235,21";"304,12";"296,10";"116,85";"66,67";"112,80";"142,56";"122,92";"108,63";"81,43";"255,12";"111,85";"156,76";"140,20";"127,15";"135,26";"63,48";"94,07";"63,95";"91,84";"119,68"
"110090 CASTANHEIRAS";"0";"26,17";"56,10";"75,31";"81,48";"88,89";"100,00";"108,47";"100,00";"92,86";"135,29";"102,94";"117,65";"126,47";"86,27";"203,77";"130,56";"123,91";"123,91";"87,27";"130,77";"92,31";"106,25";"100,00";"73,33";"96,18"
"110092 CHUPINGUAIA";"0";"88,98";"57,14";"66,06";"85,21";"129,84";"106,67";"132,41";"133,33";"122,90";"141,51";"111,32";"129,25";"167,92";"150,98";"171,19";"131,65";"126,58";"98,73";"101,31";"120,71";"55,03";"67,90";"118,52";"82,54";"109,20"
"110094 CUJUBIM";"0";"22,22";"113,68";"120,60";"130,62";"132,78";"124,23";"162,66";"194,59";"136,65";"135,47";"120,69";"129,06";"150,74";"87,50";"154,04";"115,35";"145,00";"104,58";"101,24";"122,97";"116,27";"171,22";"152,44";"91,00";"127,87"
"110100 GOVERNADOR JORGE TEIXEIRA";"0";"0";"46,43";"36,29";"94,81";"79,11";"208,96";"183,43";"164,71";"113,55";"110,76";"110,76";"151,27";"139,87";"152,69";"185,71";"148,70";"137,90";"114,52";"121,43";"127,52";"38,53";"88,39";"134,88";"75,00";"101,54"
"110110 ITAPUA DO OESTE";"0";"142,64";"76,97";"101,09";"84,13";"84,25";"137,76";"155,79";"171,43";"111,72";"120,51";"128,21";"228,21";"128,21";"86,13";"142,11";"114,63";"151,55";"73,20";"96,90";"128,42";"138,95";"137,61";"130,25";"84,00";"120,48"
"110120 MINISTRO ANDREAZZA";"0";"8,37";"98,28";"87,07";"101,72";"106,21";"108,50";"119,20";"76,62";"126,09";"121,90";"103,65";"85,40";"96,35";"117,50";"140,00";"144,23";"103,74";"73,83";"104,30";"98,00";"115,00";"95,24";"124,32";"118,52";"97,41"
"110130 MIRANTE DA SERRA";"0";"10,39";"136,14";"109,72";"139,86";"182,48";"193,72";"270,53";"461,90";"117,62";"104,20";"78,99";"122,69";"110,08";"163,12";"222,30";"120,49";"113,87";"158,39";"39,19";"129,49";"58,33";"48,17";"60,12";"75,00";"122,73"
"110140 MONTE NEGRO";"0";"4,75";"6,03";"80,68";"116,29";"172,22";"113,45";"123,75";"162,70";"98,08";"112,66";"115,61";"104,64";"91,98";"146,75";"156,47";"105,41";"90,20";"116,67";"115,61";"125,50";"112,50";"89,45";"87,43";"41,10";"102,29"
"110143 NOVA UNIAO";"0";"10,13";"28,50";"62,84";"93,27";"90,12";"252,00";"226,92";"167,44";"164,96";"90,82";"85,71";"76,53";"28,57";"34,44";"220,20";"277,03";"80,91";"130,00";"66,67";"147,87";"12,77";"71,15";"114,94";"82,86";"97,96"
