"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"313100 INHAUMA";"0";"32,97";"100,00";"117,98";"108,99";"109,52";"123,91";"120,29";"84,51";"127,78";"120,31";"100,00";"109,38";"92,19";"166,67";"131,08";"117,91";"115,00";"113,75";"101,18";"57,69";"121,79";"113,11";"129,82";"80,00";"111,46"
"313110 INIMUTABA";"0";"75,93";"102,02";"112,12";"96,97";"121,69";"68,00";"131,51";"73,68";"127,63";"122,22";"98,15";"142,59";"142,59";"154,55";"107,14";"105,56";"141,18";"117,65";"94,81";"112,12";"124,24";"133,87";"97,56";"96,30";"114,37"
"313115 IPABA";"0";"96,70";"75,94";"103,08";"74,62";"246,53";"109,13";"106,23";"89,83";"82,81";"101,88";"100,38";"115,41";"106,39";"114,91";"81,51";"93,60";"90,65";"79,67";"103,23";"104,64";"97,89";"77,73";"112,00";"72,82";"105,59"
"313120 IPANEMA";"0";"103,85";"126,15";"103,83";"131,68";"106,62";"113,33";"90,11";"116,87";"101,90";"133,04";"130,84";"107,05";"91,63";"124,90";"97,13";"88,76";"127,23";"94,47";"104,76";"99,60";"100,00";"81,97";"107,14";"67,37";"112,45"
"313130 IPATINGA";"0";"124,59";"113,69";"108,32";"69,58";"98,67";"86,65";"82,60";"99,49";"89,98";"97,25";"93,82";"93,59";"92,92";"95,04";"14,80";"100,37";"101,56";"85,15";"105,56";"103,36";"106,16";"89,79";"98,30";"49,88";"98,68"
"313140 IPIACU";"0";"70,49";"133,33";"142,86";"145,24";"111,76";"92,86";"87,50";"110,00";"125,58";"200,00";"221,74";"226,09";"226,09";"132,56";"87,80";"151,85";"132,35";"141,18";"100,00";"150,00";"125,00";"107,41";"86,05";"105,56";"129,65"
"313150 IPUIUNA";"0";"102,47";"74,10";"73,37";"103,51";"104,04";"84,21";"140,59";"109,09";"129,13";"107,69";"118,68";"115,38";"121,98";"78,69";"99,07";"89,01";"168,75";"125,00";"128,89";"114,71";"105,88";"80,39";"108,64";"77,50";"109,43"
"313160 IRAI DE MINAS";"0";"54,70";"66,35";"75,47";"126,61";"120,69";"152,33";"115,62";"106,59";"98,90";"132,50";"126,25";"120,00";"115,00";"123,47";"81,91";"104,55";"112,35";"91,36";"119,74";"117,65";"116,47";"126,14";"99,08";"114,71";"111,24"
"313170 ITABIRA";"0";"101,29";"101,55";"92,57";"86,72";"102,71";"81,76";"90,05";"94,71";"93,27";"102,45";"88,33";"85,67";"99,79";"89,21";"110,07";"94,68";"87,34";"71,82";"96,98";"108,15";"85,69";"68,32";"72,39";"61,54";"96,05"
"313180 ITABIRINHA";"0";"240,97";"171,53";"162,77";"158,09";"110,92";"178,46";"400,00";"190,20";"79,75";"104,86";"111,11";"109,72";"109,72";"100,00";"103,45";"138,32";"93,88";"97,28";"94,52";"81,33";"96,67";"100,75";"107,64";"61,19";"133,94"
"313190 ITABIRITO";"0";"111,70";"149,61";"124,11";"105,18";"107,22";"100,31";"98,64";"94,97";"78,28";"96,12";"82,39";"113,57";"119,71";"136,08";"95,83";"90,23";"96,55";"99,60";"97,42";"89,91";"71,06";"56,62";"82,27";"51,61";"103,22"
"313200 ITACAMBIRA";"0";"23,71";"67,06";"107,41";"139,47";"112,00";"120,34";"130,00";"129,31";"123,08";"130,91";"101,82";"127,27";"101,82";"101,69";"210,00";"90,57";"98,00";"80,00";"146,43";"89,47";"121,05";"106,82";"103,03";"82,35";"109,83"
"313210 ITACARAMBI";"0";"54,85";"88,03";"91,48";"92,40";"122,29";"129,08";"136,04";"122,98";"115,16";"85,63";"106,32";"93,97";"81,61";"102,83";"124,28";"98,22";"92,61";"95,07";"91,39";"97,79";"77,12";"51,61";"71,11";"51,85";"97,44"
"313220 ITAGUARA";"0";"202,49";"95,60";"110,93";"102,72";"219,86";"86,59";"116,44";"106,43";"94,41";"98,63";"102,05";"89,04";"84,93";"110,88";"73,33";"109,29";"115,33";"88,67";"90,38";"84,34";"97,59";"75,16";"111,18";"67,61";"114,85"
"313230 ITAIPE";"0";"43,04";"84,40";"96,47";"133,08";"110,95";"90,15";"118,22";"127,55";"86,55";"105,88";"81,90";"128,51";"75,57";"80,61";"166,31";"105,76";"127,45";"130,07";"95,11";"114,29";"100,00";"81,32";"79,38";"81,40";"106,02"
"313240 ITAJUBA";"0";"99,12";"126,34";"103,60";"79,35";"110,24";"107,32";"94,14";"97,64";"97,17";"104,47";"99,92";"99,41";"100,59";"64,37";"118,43";"102,35";"109,82";"91,11";"106,51";"97,87";"105,01";"81,57";"100,19";"61,45";"103,93"
"313250 ITAMARANDIBA";"0";"79,76";"96,76";"109,29";"132,70";"138,46";"101,48";"81,69";"120,50";"82,95";"162,16";"113,06";"106,98";"100,68";"117,26";"103,78";"86,40";"89,98";"82,91";"93,19";"121,51";"100,00";"83,78";"84,84";"70,97";"107,26"
"313260 ITAMARATI DE MINAS";"0";"117,65";"109,80";"107,84";"86,27";"111,63";"117,07";"95,74";"130,77";"125,64";"115,79";"97,37";"102,63";"150,00";"100,00";"94,34";"117,78";"51,85";"81,48";"107,69";"113,16";"139,47";"145,95";"116,00";"81,25";"113,61"
"313270 ITAMBACURI";"0";"126,01";"123,89";"125,22";"135,08";"129,06";"103,12";"97,64";"90,05";"79,54";"84,21";"84,69";"63,64";"84,21";"83,74";"86,68";"73,35";"97,38";"95,06";"66,08";"47,21";"83,58";"98,28";"96,68";"60,94";"98,23"
"313280 ITAMBE DO MATO DENTRO";"0";"102,27";"51,35";"86,11";"86,11";"152,00";"93,33";"85,71";"120,00";"50,00";"183,33";"127,78";"205,56";"100,00";"73,91";"115,38";"146,15";"100,00";"62,50";"81,25";"78,95";"121,05";"122,73";"79,31";"75,00";"104,78"
"313290 ITAMOGI";"0";"79,29";"77,58";"78,44";"116,57";"135,45";"94,07";"124,58";"122,68";"96,46";"90,48";"85,71";"100,79";"114,29";"120,63";"100,00";"82,44";"122,41";"124,14";"100,79";"130,77";"129,91";"90,51";"102,88";"90,70";"108,36"
"313300 ITAMONTE";"0";"94,47";"87,91";"82,11";"95,05";"128,05";"104,40";"88,17";"107,60";"97,67";"90,86";"102,15";"88,71";"97,31";"108,33";"120,12";"83,72";"122,37";"125,00";"100,00";"101,57";"98,95";"88,44";"105,52";"59,21";"103,17"
"313310 ITANHANDU";"0";"124,24";"104,76";"105,16";"97,67";"101,06";"101,61";"111,38";"87,56";"86,98";"120,21";"94,15";"100,00";"84,57";"98,88";"130,72";"78,71";"109,83";"97,11";"123,93";"101,57";"90,05";"96,41";"102,98";"56,76";"105,91"
"313320 ITANHOMI";"0";"127,72";"96,43";"111,28";"116,58";"91,41";"120,73";"121,69";"114,94";"107,69";"122,84";"110,49";"107,41";"119,14";"76,81";"116,03";"95,91";"81,92";"65,54";"102,61";"81,18";"77,65";"79,58";"86,01";"60,00";"106,43"
"313330 ITAOBIM";"0";"67,95";"92,36";"58,76";"70,41";"80,40";"79,19";"111,36";"116,77";"92,00";"123,65";"81,08";"97,64";"104,39";"98,25";"84,70";"100,00";"101,82";"93,82";"115,38";"102,87";"64,75";"61,94";"85,34";"77,11";"93,56"
"313340 ITAPAGIPE";"0";"55,50";"88,59";"67,57";"72,58";"101,74";"100,83";"74,07";"93,13";"63,69";"140,40";"112,12";"119,19";"101,01";"143,44";"103,97";"103,15";"112,28";"107,89";"89,74";"127,83";"113,91";"112,50";"94,44";"97,44";"100,99"
"313350 ITAPECERICA";"0";"129,34";"114,54";"114,23";"127,96";"106,97";"100,00";"150,48";"109,00";"90,61";"86,61";"112,05";"89,29";"75,45";"85,35";"110,81";"116,17";"119,60";"65,33";"108,11";"114,15";"87,32";"86,96";"93,12";"68,00";"112,33"
"313360 ITAPEVA";"0";"77,31";"120,49";"97,58";"100,00";"130,77";"124,00";"141,77";"145,95";"79,59";"132,00";"128,00";"160,00";"182,67";"137,61";"217,09";"153,78";"136,94";"112,61";"117,74";"105,76";"126,62";"115,60";"112,86";"83,33";"129,78"
"313370 ITATIAIUCU";"0";"67,21";"90,13";"84,42";"98,08";"106,30";"105,15";"111,11";"120,54";"87,72";"89,26";"91,74";"104,96";"100,83";"199,15";"110,50";"141,06";"96,69";"124,50";"93,53";"128,57";"76,98";"83,72";"88,81";"81,13";"107,60"
"313375 ITAU DE MINAS";"0";"66,03";"99,06";"105,09";"103,18";"103,09";"107,83";"92,43";"84,24";"99,39";"78,42";"89,47";"102,63";"103,16";"165,52";"198,90";"115,08";"97,71";"111,43";"104,81";"112,74";"117,20";"75,95";"106,29";"47,62";"109,32"
"313380 ITAUNA";"0";"109,91";"148,83";"133,72";"140,34";"128,51";"109,64";"107,26";"118,90";"100,76";"114,63";"107,77";"111,50";"107,47";"122,79";"139,09";"71,47";"97,29";"82,24";"91,39";"98,96";"92,55";"83,73";"91,44";"67,61";"113,62"
"313390 ITAVERAVA";"0";"68,57";"43,90";"82,93";"81,30";"163,64";"122,73";"182,98";"61,18";"85,53";"111,11";"114,81";"107,41";"101,85";"149,21";"272,34";"101,67";"107,14";"296,43";"149,09";"151,35";"172,97";"116,67";"140,43";"70,00";"117,06"
"313400 ITINGA";"0";"38,14";"2,32";"80,26";"79,28";"94,94";"118,23";"250,00";"162,45";"176,92";"107,93";"109,15";"114,02";"97,56";"86,74";"174,75";"90,91";"105,71";"99,43";"109,70";"91,03";"85,90";"105,19";"102,67";"94,12";"102,13"
"313410 ITUETA";"0";"100,00";"95,35";"118,82";"115,48";"90,11";"114,63";"127,63";"120,29";"110,14";"100,00";"95,59";"111,76";"114,71";"85,00";"137,50";"113,41";"105,19";"93,51";"91,67";"106,59";"83,52";"81,08";"128,38";"71,43";"108,91"
"313420 ITUIUTABA";"0";"134,78";"144,02";"107,73";"98,25";"120,44";"103,28";"122,11";"102,29";"95,23";"101,93";"93,15";"93,41";"89,98";"104,64";"84,78";"106,54";"103,34";"91,84";"101,21";"91,90";"83,08";"69,58";"85,77";"61,48";"105,37"
"313430 ITUMIRIM";"0";"28,57";"73,11";"64,17";"94,21";"98,89";"102,56";"97,53";"97,44";"86,59";"124,59";"90,16";"132,79";"111,48";"144,78";"183,33";"97,06";"70,59";"80,00";"76,39";"110,71";"148,21";"65,28";"90,32";"96,43";"94,03"
"313440 ITURAMA";"0";"89,19";"92,87";"104,63";"127,58";"119,57";"114,94";"114,38";"156,89";"100,19";"113,32";"91,12";"90,49";"95,56";"120,50";"104,64";"92,91";"95,26";"93,62";"83,87";"94,60";"79,80";"71,02";"80,46";"61,84";"105,75"
"313450 ITUTINGA";"0";"72,62";"119,12";"111,94";"91,04";"115,56";"122,00";"104,00";"106,67";"120,00";"102,50";"120,00";"97,50";"85,00";"100,00";"187,10";"114,00";"95,92";"83,67";"163,33";"111,11";"141,67";"147,73";"84,75";"95,24";"117,01"
"313460 JABOTICATUBAS";"0";"102,56";"101,67";"117,92";"104,98";"110,27";"146,75";"108,60";"119,32";"102,42";"120,00";"115,62";"102,50";"121,25";"106,59";"146,50";"99,46";"136,21";"130,46";"105,34";"110,29";"108,82";"117,99";"96,73";"75,00";"119,86"
"313470 JACINTO";"0";"51,21";"45,85";"110,68";"89,81";"176,07";"95,35";"137,14";"84,57";"79,46";"115,38";"101,18";"94,67";"100,00";"103,80";"154,31";"94,62";"111,76";"118,49";"81,20";"105,69";"95,12";"108,33";"90,83";"78,85";"103,31"
"313480 JACUI";"0";"89,52";"112,00";"127,78";"125,20";"124,18";"118,09";"122,58";"121,88";"91,40";"118,75";"112,50";"115,00";"112,50";"190,79";"137,62";"102,30";"120,25";"122,78";"103,37";"112,09";"108,79";"102,97";"111,49";"88,57";"121,59"
"313490 JACUTINGA";"0";"81,65";"92,01";"91,95";"95,71";"86,39";"95,83";"85,30";"109,03";"56,94";"89,53";"92,78";"100,36";"119,13";"142,95";"113,46";"90,03";"108,65";"98,50";"96,21";"105,76";"103,96";"64,35";"78,47";"99,19";"98,92"
"313500 JAGUARACU";"0";"78,95";"70,45";"81,82";"66,67";"145,83";"109,09";"77,78";"159,26";"95,65";"106,06";"106,06";"157,58";"87,88";"172,41";"110,00";"117,95";"100,00";"91,43";"78,12";"162,07";"124,14";"45,45";"48,78";"50,00";"103,64"
"313505 JAIBA";"0";"42,16";"83,66";"97,21";"107,13";"195,88";"149,82";"127,88";"147,42";"134,42";"134,48";"130,10";"123,43";"132,19";"127,44";"124,65";"102,09";"85,03";"81,02";"89,05";"83,36";"73,38";"78,50";"98,28";"77,31";"111,55"
"313507 JAMPRUCA";"0";"26,09";"112,00";"117,33";"98,67";"118,75";"100,00";"119,12";"128,79";"90,00";"102,53";"108,86";"69,62";"93,67";"90,79";"76,83";"130,77";"80,95";"128,57";"120,63";"114,55";"96,36";"128,30";"20,90";"69,57";"98,87"
"313510 JANAUBA";"0";"35,78";"118,66";"116,85";"110,79";"112,40";"95,09";"102,32";"94,26";"82,54";"99,81";"96,30";"93,27";"92,20";"92,23";"100,31";"84,56";"89,82";"87,84";"86,95";"91,65";"102,46";"70,13";"88,42";"62,15";"96,43"
"313520 JANUARIA";"0";"88,41";"98,27";"97,09";"112,85";"119,66";"128,57";"110,21";"117,98";"87,44";"94,75";"96,83";"108,96";"92,13";"105,03";"124,06";"109,97";"102,33";"111,14";"108,60";"73,62";"50,63";"55,86";"87,56";"45,50";"106,02"
"313530 JAPARAIBA";"0";"54,05";"46,67";"64,47";"75,00";"134,38";"62,50";"169,23";"124,00";"103,64";"181,58";"121,05";"136,84";"115,79";"154,35";"98,25";"160,98";"136,59";"158,54";"154,55";"131,34";"105,97";"80,00";"128,26";"52,00";"109,92"
"313535 JAPONVAR";"0";"126,77";"81,97";"83,78";"77,66";"118,02";"98,53";"132,43";"88,98";"122,68";"92,66";"88,07";"105,50";"88,99";"128,87";"174,26";"64,60";"109,28";"94,85";"113,98";"117,76";"116,82";"87,04";"88,78";"68,42";"107,25"
"313540 JECEABA";"0";"32,61";"47,25";"66,29";"63,64";"180,00";"166,67";"190,32";"153,66";"60,32";"135,71";"114,29";"100,00";"169,05";"119,05";"92,16";"171,05";"137,88";"254,55";"212,77";"100,00";"104,48";"117,91";"87,01";"60,87";"113,03"
"313545 JENIPAPO DE MINAS";"0";"78,82";"230,40";"140,80";"113,71";"180,34";"155,67";"190,32";"152,94";"276,92";"172,88";"167,80";"145,76";"157,63";"86,05";"1880,00";"162,35";"117,78";"28,89";"101,59";"106,74";"25,84";"47,06";"72,50";"44,00";"141,47"
"313550 JEQUERI";"0";"98,74";"77,53";"84,89";"130,18";"140,78";"180,36";"90,59";"116,90";"97,79";"111,51";"100,72";"103,60";"95,68";"124,39";"63,46";"128,00";"126,98";"112,70";"114,52";"114,40";"149,60";"89,03";"99,21";"62,26";"112,66"
"313560 JEQUITAI";"0";"68,52";"141,06";"121,33";"104,03";"147,20";"119,66";"470,00";"123,26";"127,27";"108,60";"116,13";"101,08";"109,68";"202,30";"95,19";"107,23";"82,29";"80,21";"120,48";"87,91";"118,68";"117,81";"145,07";"125,93";"126,76"
"313570 JEQUITIBA";"0";"69,39";"124,69";"97,53";"119,51";"191,23";"135,19";"153,66";"108,89";"129,27";"86,21";"117,24";"108,62";"151,72";"85,90";"117,65";"112,28";"159,65";"122,81";"94,44";"123,40";"165,96";"95,16";"114,29";"64,00";"121,74"
"313580 JEQUITINHONHA";"0";"57,32";"131,85";"182,56";"157,00";"203,32";"168,05";"113,99";"958,14";"118,16";"99,15";"74,36";"97,72";"94,87";"120,23";"101,15";"69,78";"35,15";"99,66";"92,66";"81,00";"84,23";"73,68";"103,46";"75,24";"121,40"
"313590 JESUANIA";"0";"106,17";"58,97";"82,28";"103,80";"136,17";"100,00";"124,00";"109,52";"91,07";"190,32";"145,16";"158,06";"164,52";"126,09";"116,00";"98,08";"136,17";"117,02";"138,00";"88,89";"71,43";"84,00";"125,64";"130,43";"113,54"
"313600 JOAIMA";"0";"56,41";"79,62";"99,68";"112,42";"110,38";"69,86";"88,17";"104,43";"121,95";"105,00";"91,67";"97,50";"76,25";"106,25";"112,28";"105,56";"74,79";"73,95";"105,79";"126,18";"100,00";"78,84";"87,64";"54,88";"97,11"
"313610 JOANESIA";"0";"91,35";"86,44";"81,36";"52,99";"157,45";"200,00";"112,77";"98,18";"111,76";"100,00";"105,00";"86,67";"41,67";"151,52";"90,48";"130,56";"97,96";"95,92";"48,89";"126,47";"182,35";"66,67";"97,30";"135,71";"103,50"
"313620 JOAO MONLEVADE";"0";"128,04";"106,38";"102,40";"87,50";"105,34";"103,86";"98,65";"86,32";"83,18";"102,18";"93,14";"84,93";"90,33";"121,91";"148,84";"113,47";"101,79";"91,15";"99,56";"100,11";"107,08";"81,99";"84,69";"66,94";"105,40"
"313630 JOAO PINHEIRO";"0";"79,38";"116,31";"92,82";"134,07";"111,86";"95,98";"117,18";"114,77";"108,47";"116,18";"99,69";"98,15";"105,55";"104,98";"109,55";"102,94";"63,70";"83,97";"88,02";"60,16";"102,79";"82,35";"102,06";"77,16";"104,41"
"313640 JOAQUIM FELICIO";"0";"61,11";"117,14";"104,29";"95,65";"84,44";"151,67";"96,92";"172,58";"241,46";"202,33";"188,37";"97,67";"127,91";"95,74";"117,50";"93,94";"19,44";"86,11";"17,14";"83,33";"108,33";"65,91";"144,12";"100,00";"113,46"
"313650 JORDANIA";"0";"81,61";"116,41";"86,15";"88,27";"122,56";"117,09";"122,70";"515,38";"182,19";"140,21";"114,43";"139,18";"147,42";"142,61";"100,79";"125,24";"125,78";"86,72";"122,45";"103,57";"105,36";"96,36";"95,45";"93,02";"121,84"
"313652 JOSE GONCALVES DE MINAS";"0";"141,28";"109,70";"102,24";"82,22";"162,90";"94,29";"100,00";"90,54";"273,08";"182,35";"297,06";"150,00";"223,53";"77,27";"248,00";"131,34";"45,90";"40,98";"119,61";"73,33";"45,00";"145,71";"79,17";"71,43";"120,88"
"313655 JOSE RAYDAN";"0";"171,43";"116,36";"141,82";"146,30";"72,97";"144,26";"169,05";"111,76";"86,89";"100,00";"118,18";"104,55";"138,64";"96,83";"178,12";"96,92";"140,00";"130,00";"80,39";"111,11";"82,22";"57,45";"116,00";"50,00";"129,69"
"313657 JOSENOPOLIS";"0";"89,32";"105,26";"97,41";"76,07";"142,70";"110,00";"183,12";"173,91";"178,41";"147,06";"129,41";"102,94";"132,35";"133,82";"107,14";"81,03";"84,78";"56,52";"84,38";"59,09";"104,55";"74,36";"88,10";"52,17";"118,97"
"313660 NOVA UNIAO";"0";"87,23";"76,85";"79,82";"87,27";"116,42";"140,68";"113,85";"101,16";"122,67";"205,88";"194,12";"238,24";"205,88";"150,85";"115,15";"144,83";"112,12";"119,70";"116,46";"96,00";"117,33";"40,22";"84,93";"53,33";"114,68"
"313665 JUATUBA";"0";"128,62";"76,44";"28,89";"92,78";"81,50";"125,35";"117,89";"96,00";"92,13";"99,30";"109,41";"125,09";"126,13";"137,61";"113,46";"165,10";"98,93";"89,77";"107,79";"88,78";"96,68";"75,49";"75,30";"55,03";"104,75"
"313670 JUIZ DE FORA";"0";"97,56";"96,39";"92,56";"102,40";"92,44";"96,44";"96,04";"113,81";"96,15";"94,98";"84,47";"90,30";"96,69";"101,09";"119,17";"98,01";"98,97";"98,21";"97,73";"67,81";"63,92";"49,81";"52,09";"34,99";"94,92"
"313680 JURAMENTO";"0";"67,57";"78,57";"60,71";"78,82";"112,00";"120,34";"162,00";"162,16";"83,33";"183,78";"156,76";"135,14";"148,65";"152,08";"119,30";"112,24";"128,21";"117,95";"127,91";"84,00";"110,00";"45,00";"89,47";"50,00";"108,19"
"313690 JURUAIA";"0";"111,11";"91,55";"86,11";"97,26";"77,27";"85,23";"109,92";"91,53";"103,85";"85,32";"105,50";"77,98";"100,92";"127,10";"94,12";"95,35";"140,16";"114,75";"106,80";"77,78";"99,35";"119,08";"70,91";"69,39";"101,57"
"313695 JUVENILIA";"0";"38,16";"90,41";"23,65";"101,65";"121,18";"94,06";"126,83";"104,24";"149,25";"74,68";"97,47";"108,86";"115,19";"140,28";"96,97";"47,89";"61,39";"52,48";"95,24";"119,05";"96,83";"139,29";"137,88";"87,88";"92,11"
"313700 LADAINHA";"0";"81,07";"93,30";"90,96";"81,30";"111,11";"110,31";"108,57";"138,62";"103,97";"109,50";"103,62";"98,19";"121,72";"99,62";"111,92";"111,46";"87,21";"89,95";"101,53";"99,50";"114,50";"81,19";"70,06";"88,24";"102,14"
"313710 LAGAMAR";"0";"93,02";"70,37";"78,36";"107,46";"65,62";"179,41";"122,06";"96,05";"130,99";"140,00";"116,00";"180,00";"134,00";"126,47";"108,08";"110,17";"129,09";"96,36";"126,09";"108,47";"108,47";"110,87";"101,79";"72,73";"115,68"
"313720 LAGOA DA PRATA";"0";"95,23";"102,56";"109,50";"92,46";"101,91";"93,45";"95,77";"103,21";"95,68";"121,82";"101,06";"120,97";"106,14";"129,91";"96,13";"111,22";"118,53";"105,22";"100,96";"97,83";"130,00";"73,30";"74,20";"56,54";"106,47"
"313730 LAGOA DOS PATOS";"0";"51,85";"140,79";"142,11";"170,13";"89,33";"187,72";"608,33";"90,62";"139,66";"164,44";"171,11";"106,67";"140,00";"98,25";"106,82";"116,28";"24,44";"82,22";"192,59";"128,95";"178,95";"95,83";"97,78";"77,78";"126,48"
"313740 LAGOA DOURADA";"0";"61,51";"94,47";"103,65";"75,23";"92,93";"115,26";"125,58";"87,43";"108,88";"127,59";"115,17";"115,86";"121,38";"98,65";"138,94";"114,67";"98,80";"95,78";"102,16";"97,37";"100,66";"102,86";"105,96";"63,33";"106,70"
"313750 LAGOA FORMOSA";"0";"82,51";"89,06";"98,83";"103,89";"89,29";"126,52";"95,50";"111,89";"111,96";"120,00";"104,71";"113,53";"103,53";"155,43";"150,00";"104,73";"126,06";"143,66";"120,65";"90,83";"96,79";"79,23";"111,62";"82,72";"110,98"
"313753 LAGOA GRANDE";"0";"61,33";"98,10";"115,43";"95,15";"144,74";"136,45";"124,77";"85,71";"130,00";"120,00";"100,00";"104,00";"121,00";"136,00";"189,47";"92,78";"182,19";"130,14";"130,00";"95,16";"104,03";"79,59";"134,83";"71,05";"117,94"
"313760 LAGOA SANTA";"0";"88,74";"85,70";"108,59";"102,28";"130,38";"105,60";"107,40";"102,07";"79,53";"110,60";"97,39";"96,31";"109,52";"117,34";"93,23";"105,33";"112,34";"87,66";"87,53";"91,57";"109,29";"91,68";"90,23";"70,29";"103,05"
"313770 LAJINHA";"0";"103,34";"89,53";"103,00";"102,70";"87,11";"104,73";"106,53";"97,78";"83,27";"157,59";"125,32";"157,59";"155,06";"125,55";"89,47";"122,08";"70,53";"78,37";"92,36";"103,56";"89,00";"59,94";"79,94";"73,64";"102,50"
"313780 LAMBARI";"0";"95,66";"106,83";"125,27";"119,72";"104,82";"111,60";"100,32";"101,04";"114,50";"101,06";"103,89";"91,52";"96,82";"111,39";"98,32";"133,99";"107,20";"90,25";"105,36";"86,75";"98,29";"92,23";"120,09";"64,52";"109,16"
"313790 LAMIM";"0";"138,33";"90,48";"111,11";"126,98";"100,00";"127,66";"63,01";"117,65";"106,67";"97,87";"108,51";"93,62";"104,26";"108,51";"172,97";"151,61";"122,58";"125,81";"88,24";"93,94";"115,15";"72,22";"125,00";"155,56";"114,47"
"313800 LARANJAL";"0";"94,29";"108,86";"103,80";"81,25";"218,18";"156,82";"140,48";"157,14";"88,89";"148,89";"111,11";"135,56";"160,00";"109,52";"100,00";"94,12";"160,53";"118,42";"175,00";"100,00";"58,73";"165,79";"83,58";"133,33";"139,85"
"313810 LASSANCE";"0";"30,60";"77,86";"100,76";"81,68";"105,45";"104,17";"120,48";"112,05";"98,80";"104,44";"110,00";"101,11";"97,78";"96,84";"78,82";"100,00";"123,88";"129,85";"136,51";"108,11";"113,51";"109,88";"97,14";"92,50";"99,86"
"313820 LAVRAS";"0";"124,17";"112,58";"111,76";"115,79";"102,73";"99,47";"95,88";"95,84";"93,35";"87,19";"82,02";"93,55";"87,11";"101,11";"107,59";"92,08";"93,78";"84,84";"96,31";"82,46";"73,35";"56,39";"68,78";"15,60";"96,42"
"313830 LEANDRO FERREIRA";"0";"65,67";"106,25";"97,96";"106,12";"106,06";"85,42";"190,62";"144,83";"118,75";"96,55";"155,17";"155,17";"117,24";"97,06";"162,96";"84,62";"121,62";"110,81";"217,86";"164,52";"170,97";"154,17";"185,00";"92,86";"126,67"
"313835 LEME DO PRADO";"0";"13,79";"2,11";"109,38";"107,29";"186,75";"194,20";"98,72";"148,39";"188,57";"188,89";"213,89";"152,78";"466,67";"96,72";"153,33";"128,30";"153,85";"101,92";"114,29";"103,92";"80,39";"105,41";"136,36";"36,36";"127,74"
"313840 LEOPOLDINA";"0";"92,65";"93,33";"92,75";"98,86";"185,25";"92,56";"113,76";"110,49";"100,31";"102,88";"102,72";"108,79";"99,36";"101,08";"94,44";"84,32";"87,24";"78,43";"96,91";"90,32";"81,72";"76,39";"75,39";"44,09";"101,68"
"313850 LIBERDADE";"0";"88,00";"107,29";"66,32";"92,63";"130,30";"114,06";"118,18";"120,00";"120,00";"118,42";"105,26";"113,16";"157,89";"74,19";"154,05";"143,33";"150,00";"76,19";"113,89";"97,62";"102,38";"75,61";"84,78";"70,59";"109,84"
"313860 LIMA DUARTE";"0";"75,10";"116,88";"102,94";"116,25";"205,09";"146,63";"132,56";"89,55";"118,56";"121,79";"129,49";"92,31";"139,10";"93,05";"223,60";"77,71";"86,78";"94,25";"100,00";"95,24";"75,00";"44,20";"72,51";"51,43";"115,08"
"313862 LIMEIRA DO OESTE";"0";"52,59";"135,11";"122,58";"113,04";"154,90";"128,33";"100,00";"191,18";"150,88";"118,46";"144,62";"96,92";"126,15";"173,97";"126,76";"140,00";"105,43";"120,65";"101,96";"94,87";"88,89";"96,12";"84,27";"70,00";"119,94"
"313865 LONTRA";"0";"41,51";"114,19";"81,40";"73,14";"82,71";"120,51";"121,30";"89,52";"107,41";"102,83";"113,21";"92,45";"108,49";"78,15";"128,89";"114,58";"144,68";"101,06";"127,27";"75,76";"103,03";"100,00";"100,98";"78,57";"100,83"
"313867 LUISBURGO";"0";"103,51";"78,47";"106,85";"82,55";"101,00";"85,12";"107,69";"108,05";"108,51";"119,77";"93,02";"96,51";"89,53";"136,14";"128,21";"102,08";"102,88";"109,62";"108,00";"82,88";"29,73";"75,22";"102,65";"57,45";"99,23"
"313868 LUISLANDIA";"0";"73,64";"110,62";"89,47";"124,14";"109,23";"150,00";"125,83";"142,68";"96,97";"123,40";"106,38";"105,32";"110,64";"113,86";"102,94";"137,31";"66,67";"102,08";"87,78";"60,00";"91,76";"90,41";"102,86";"69,70";"107,98"
"313870 LUMINARIAS";"0";"108,65";"107,29";"91,67";"70,10";"67,09";"125,00";"82,19";"116,95";"87,04";"112,24";"102,04";"116,33";"83,67";"59,62";"133,93";"153,33";"127,27";"89,09";"75,47";"128,57";"83,33";"87,50";"127,08";"95,00";"103,07"
"313880 LUZ";"0";"73,02";"89,69";"94,30";"109,85";"105,63";"110,78";"102,28";"114,36";"97,61";"104,41";"95,10";"114,71";"97,06";"109,05";"96,15";"93,05";"112,85";"117,88";"93,15";"169,68";"161,70";"98,40";"108,59";"61,90";"111,91"
"313890 MACHACALIS";"0";"34,85";"61,90";"85,71";"175,24";"101,65";"96,55";"88,89";"112,26";"83,90";"104,90";"102,94";"101,96";"81,37";"102,13";"142,68";"118,89";"98,99";"89,90";"102,38";"112,50";"92,05";"86,90";"62,96";"61,29";"98,62"
